商品名称,北京出库销量,上海出库销量,广州出库销量,成都出库销量,武汉出库销量,沈阳出库销量,西安出库销量
零基础学Python（全彩版）,747,666,578,284,246,156,152
Python从入门到项目实践（全彩版）,318,250,230,113,92,66,63
Python项目开发案例集锦（全彩版）,255,196,189,115,88,48,57
Python编程锦囊（全彩版）,175,146,136,85,65,32,47
零基础学C语言（全彩版）,149,100,115,82,63,37,40
SQL即查即用（全彩版）,119,98,88,29,25,34,40
零基础学Java（全彩版）,88,69,81,48,43,29,29
零基础学C++（全彩版）,84,64,75,53,35,13,23
零基础学C#（全彩版）,56,39,51,27,16,9,7
C#项目开发实战入门（全彩版）,48,45,42,18,22,5,12
